"Name","Status"
"AarSvc_3b52e8","Stopped"
"ADPSvc","Stopped"
"ALG","Stopped"
"AMD External Events Utility","Running"
"AppIDSvc","Stopped"
"Appinfo","Running"
"AppMgmt","Stopped"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Running"
"ApxSvc","Stopped"
"AssignedAccessManagerSvc","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"BcastDVRUserService_3b52e8","Stopped"
"BDESVC","Stopped"
"BFE","Running"
"BITS","Stopped"
"BluetoothUserService_3b52e8","Running"
"Bonjour Service","Running"
"BrokerInfrastructure","Running"
"BTAGService","Running"
"BthAvctpSvc","Running"
"bthserv","Running"
"camsvc","Running"
"CaptureService_3b52e8","Stopped"
"cbdhsvc_3b52e8","Running"
"CDPSvc","Running"
"CDPUserSvc_3b52e8","Running"
"CertPropSvc","Stopped"
"ClickToRunSvc","Running"
"ClipSVC","Running"
"CloudBackupRestoreSvc_3b52e8","Stopped"
"cloudidsvc","Stopped"
"COMSysApp","Stopped"
"ConsentUxUserSvc_3b52e8","Stopped"
"CoreMessagingRegistrar","Running"
"CortexLauncherService","Stopped"
"CredentialEnrollmentManagerUserSvc_3b52e8","Stopped"
"CryptSvc","Running"
"CscService","Stopped"
"dbupdate","Stopped"
"dbupdatem","Stopped"
"DbxSvc","Running"
"DcomLaunch","Running"
"dcsvc","Stopped"
"defragsvc","Stopped"
"DeviceAssociationBrokerSvc_3b52e8","Stopped"
"DeviceAssociationService","Running"
"DeviceInstall","Stopped"
"DevicePickerUserSvc_3b52e8","Stopped"
"DevicesFlowUserSvc_3b52e8","Running"
"DevQueryBroker","Running"
"Dhcp","Running"
"diagsvc","Stopped"
"DiagTrack","Running"
"DialogBlockingService","Stopped"
"DispBrokerDesktopSvc","Running"
"DisplayEnhancementService","Running"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"Dnscache","Running"
"DolbyDAXAPI","Running"
"DoSvc","Running"
"dot3svc","Stopped"
"DPS","Running"
"DropboxElevationService","Stopped"
"DropboxUpdaterInternalService123.0.6299.144","Stopped"
"DropboxUpdaterService123.0.6299.144","Stopped"
"DsmSvc","Stopped"
"DsSvc","Running"
"DusmSvc","Running"
"EapHost","Stopped"
"edgeupdate","Stopped"
"edgeupdatem","Stopped"
"EFS","Stopped"
"ElevocService","Running"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"EventLog","Running"
"EventSystem","Running"
"fdPHost","Stopped"
"FDResPub","Stopped"
"fhsvc","Stopped"
"FileSyncHelper","Running"
"FontCache","Running"
"FrameServer","Running"
"FrameServerMonitor","Stopped"
"GameInputSvc","Stopped"
"GoogleChromeElevationService","Stopped"
"GoogleUpdaterInternalService144.0.7547.0","Stopped"
"GoogleUpdaterService144.0.7547.0","Stopped"
"gpsvc","Running"
"GraphicsPerfSvc","Stopped"
"HgClientService","Stopped"
"hidserv","Stopped"
"HNS","Running"
"hpatchmon","Stopped"
"HvHost","Running"
"icssvc","Stopped"
"IKEEXT","Stopped"
"InstallService","Running"
"InventorySvc","Running"
"iphlpsvc","Running"
"IpxlatCfgSvc","Stopped"
"KeyIso","Running"
"KtmRm","Stopped"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"LenovoFnAndFunctionKeys","Running"
"lfsvc","Running"
"LicenseManager","Running"
"LITSSVC","Running"
"lltdsvc","Stopped"
"lmhosts","Running"
"LocalKdc","Stopped"
"LSM","Running"
"LxpSvc","Stopped"
"MapsBroker","Stopped"
"McmSvc","Stopped"
"McpManagementService","Stopped"
"MDCoreSvc","Running"
"MessagingService_3b52e8","Stopped"
"MicrosoftEdgeElevationService","Stopped"
"midisrv","Stopped"
"mpssvc","Running"
"MSDTC","Stopped"
"MSiSCSI","Stopped"
